"","team","average_ pos","average_ fgm","average_ fga","average_ fg_pct","average_ tpm","average_ tpa","average_ tp_pct","average_ ftm","average_ fta","average_ ft_pct","average_ oreb","average_ dreb","average_ reb","average_ ast","average_ stl","average_ blk","average_ to","average_ pf","average_ pts","average_ opp_fgm","average_ opp_fga","average_ opp_fg_pct","average_ opp_tpm","average_ opp_tpa","average_ opp_tp_pct","average_ opp_ftm","average_ opp_fta","average_ opp_ft_pct","average_ opp_oreb","average_ opp_dreb","average_ opp_reb","average_ opp_ast","average_ opp_stl","average_ opp_blk","average_ opp_to","average_ opp_pf","average_ opp_pts","average_ pts_scored","average_ pts_allowed","average_ adj_o","average_ adj_d","average_ off_ppp","average_ off_efg","average_ off_to","average_ off_or","average_ off_ftr","average_ def_ppp","average_ def_efg","average_ def_to","average_ def_or","average_ def_ftr","average_ game_score","average_ tempo","average_ avg_marg","barthag","barthag_rk","adj_o.x","adj_o_rk.x","adj_d.x","adj_d_rk.x","adj_t.x","adj_t_rk.x","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","rk","adj_em","adj_o.y","adj_o_rk.y","adj_d.y","adj_d_rk.y","adj_t.y","adj_t_rk.y","luck","luck_rk","sos_adj_em","sos_adj_em_rk","sos_opp_o","sos_opp_o_rk","sos_opp_d","sos_opp_d_rk","ncsos_adj_em","ncsos_adj_em_rk","win_percentage","is_ranked","is_unranked","rank"
"1","Kansas",69.1142857142857,27,56.5428571428571,0.480701081332109,6.2,16.7142857142857,0.376903463937943,16.2,22.3428571428571,0.728251491699901,12.0285714285714,27.1428571428571,39.1714285714286,15.8571428571429,6.82857142857143,4.42857142857143,14.5142857142857,18.9142857142857,76.4,22.0857142857143,57.6857142857143,0.384377603375378,6.57142857142857,19.6571428571429,0.324498207642695,14.6857142857143,20.2285714285714,0.721105517934971,11.2,20.7714285714286,31.9714285714286,12.5428571428571,7.31428571428571,3.28571428571429,13.5142857142857,20.0857142857143,65.4285714285714,76.4,65.4285714285714,113.491428571429,89.1542857142857,109.825714285714,53.6,20.8657142857143,36.6371428571429,40.8371428571429,93.9714285714286,44.2485714285714,19.3657142857143,28.8514285714286,35.7657142857143,87.4857142857143,69.3657142857143,NA,0.940896,7,113.617,23,89.3161,9,68.1967,108,5.4051536262817,24,0.5742,0.5742,32,0.7036,0.7036,14,23.83,114.5,23,90.7,11,67.2,93,-0.013,202,8.83,37,107.9,32,99.1,39,1.55,117,0.771428571428571,1,0,14
"2","Memphis",68.054054054054,26.4594594594595,58.8108108108108,0.449534469449803,6,18.4054054054054,0.325933276103218,16.1891891891892,23.4594594594595,0.696718497964651,13.4594594594595,25.7837837837838,39.2432432432432,14.2162162162162,8.86486486486486,6,12.5405405405405,17.6216216216216,75.1081081081081,20.4054054054054,54.8918918918919,0.371824501607352,4.64864864864865,15.5135135135135,0.2873850884532,13.3513513513514,19.4594594594595,0.688430164135253,11.2432432432432,21.9459459459459,33.1891891891892,9.83783783783784,5.86486486486486,2.78378378378378,15.4054054054054,19.027027027027,58.8108108108108,75.1081081081081,58.8108108108108,111.159459459459,83.272972972973,109.386486486486,50.0945945945946,18.227027027027,37.9324324324324,41.2297297297297,85.2297297297297,41.4,22.4459459459459,30.0351351351351,35.6837837837838,92.7378378378378,68.4243243243243,NA,0.967966,1,111.794,35,83.1187,1,67.9594,121,6.9491495452303,26,0.6201,0.6201,24,0.6359,0.6359,4,28.67,112.8,37,84.2,1,65.9,145,-0.009,190,4.73,77,105.5,73,100.8,78,4.19,67,0.891891891891892,1,0,3
"3","North Carolina",75.2972972972973,31.2702702702703,65.6756756756757,0.476893676842069,6.86486486486486,17.8378378378378,0.381821205305187,19.7297297297297,26.1081081081081,0.763355851282613,14.7027027027027,27.4864864864865,42.1891891891892,17.8108108108108,8.4054054054054,5.10810810810811,12.5675675675676,16,89.1351351351351,26.7027027027027,65.0810810810811,0.414336254150691,7.18918918918919,21.3783783783784,0.328475824818768,11.4324324324324,16.5135135135135,0.686998017322329,13.0540540540541,22.7567567567568,35.8108108108108,13.6486486486486,7.13513513513514,4.48648648648649,15.7027027027027,20.8108108108108,72.027027027027,89.1351351351351,72.027027027027,122.348648648649,90.9324324324324,117.602702702703,52.9378378378378,16.5378378378378,39.0162162162162,40.1810810810811,95.5783783783784,46.9810810810811,20.6702702702703,31.9378378378378,26.5027027027027,93.2081081081081,75.5135135135135,NA,0.967424,3,123.064,1,91.6363,21,74.2853,7,7.6537570329365,18,0.5627,0.5627,33,0.7318,0.7318,1,31.14,123.2,1,92.1,18,72.9,6,-0.011,195,9.91,24,108.2,27,98.3,15,1.06,126,0.894736842105263,1,0,2
"4","UCLA",65.5714285714286,27.6285714285714,56.3714285714286,0.491173245895728,7.48571428571429,18.7428571428571,0.406592882325302,12.7428571428571,17.6,0.714767279919487,11.2857142857143,21.6,32.8857142857143,15.4571428571429,8.34285714285714,3.14285714285714,12.5714285714286,17.0857142857143,75.4857142857143,22.9142857142857,51.4857142857143,0.447851587112387,5.45714285714286,15.1142857142857,0.365270052207126,12.7428571428571,18.3142857142857,0.68768111784594,9.85714285714286,19.7714285714286,29.6285714285714,11.8571428571429,5.25714285714286,2.11428571428571,15.7714285714286,16.5428571428571,64.0285714285714,75.4857142857143,64.0285714285714,118.5,92.84,114.477142857143,55.8457142857143,18.7342857142857,35.9714285714286,31.96,97.4885714285714,50.1485714285714,23.4657142857143,31.04,36.44,88.9428571428572,65.8828571428571,NA,0.940623,8,119.368,3,93.8767,46,66.6879,170,4.5409055335598,15,0.495,0.495,31,0.7055,0.7055,12,23.93,119.5,3,95.6,44,65.3,171,-0.03,251,8.42,39,107.6,39,99.1,40,-3.43,243,0.742857142857143,1,0,18
"5","Bradley",64.7777777777778,22.3888888888889,50.9166666666667,0.447171855040101,6,18.2777777777778,0.33280738048854,16.3055555555556,22.6666666666667,0.726748014904221,10.7777777777778,21.4444444444444,32.2222222222222,12.5833333333333,7.83333333333333,3.47222222222222,14.4722222222222,17.9166666666667,67.0833333333333,23.0555555555556,53.25,0.435284863626883,6.75,19.5555555555556,0.339265314829848,13.4444444444444,18.3888888888889,0.711496150331009,11.5,21.4166666666667,32.9166666666667,13.8611111111111,6.69444444444444,2.38888888888889,14.8611111111111,20.1944444444444,66.3055555555556,67.0833333333333,66.3055555555556,103.569444444444,99.5277777777778,103,50.8361111111111,22.15,33.3611111111111,45.9555555555556,101.438888888889,49.9111111111111,22.6972222222222,34.4027777777778,35.8305555555556,58.5222222222222,64.9138888888889,NA,0.616117,115,104.169,114,99.9702,147,65.7559,218,-6.8398711789716,18,0.504,0.504,18,0.564,0.564,120,3.95,104.9,134,101,133,64.7,198,0.046,60,1.45,122,104.2,108,102.8,161,-0.67,178,0.583333333333333,0,1,0
"6","Tulsa",65.0857142857143,23.2,51.8857142857143,0.449387467705166,5.45714285714286,16.1142857142857,0.335665187569323,14.9428571428571,21.4285714285714,0.691696847570912,10.9428571428571,26.4857142857143,37.4285714285714,11.1428571428571,5.42857142857143,4.77142857142857,14.3142857142857,18.6285714285714,66.8,21.6571428571429,54.9714285714286,0.393548550539878,4.6,16.5428571428571,0.272459856497047,13.9714285714286,20.8571428571429,0.669702526609166,10.4,21.2857142857143,31.6857142857143,10.4,7.2,2.8,11.2571428571429,19.1428571428571,61.8857142857143,66.8,61.8857142857143,103.894285714286,91.8142857142857,102,50.2028571428571,21.74,33.7257142857143,42.4742857142857,94.4114285714286,43.5628571428571,17.16,27.9657142857143,38.3685714285714,73.2914285714286,65.3428571428571,NA,0.796548,64,103.926,120,92.2952,30,65.0587,250,0.39652857891492,24,0.5665,0.5665,26,0.6192,0.6192,58,12.75,106.2,110,93.4,31,64.1,226,0.06,36,4.88,73,105.4,79,100.5,72,2.32,101,0.694444444444444,0,1,0
"7","Massachusetts",70.1379310344828,25.2758620689655,58.6206896551724,0.434879693546535,8.62068965517241,23.9310344827586,0.364307147378762,11.7241379310345,16.8965517241379,0.681325274636858,10.3103448275862,24.0344827586207,34.3448275862069,14.1379310344828,6.72413793103448,5.48275862068965,14.1034482758621,16.9655172413793,70.8965517241379,27.4827586206897,61.4137931034483,0.450233829336422,6.41379310344828,18.2413793103448,0.338088687385363,12.4137931034483,18.1034482758621,0.687482039079385,12.5862068965517,25.5862068965517,38.1724137931034,16.2068965517241,6.6551724137931,4.10344827586207,13.3793103448276,16.6896551724138,73.7931034482759,70.8965517241379,73.7931034482759,103.234482758621,101.027586206897,100.713793103448,50.9137931034483,19.8413793103448,28.6448275862069,29.6413793103448,104.4,50.3241379310345,18.8448275862069,33.5758620689655,29.648275862069,53.8758620689655,70.0241379310345,NA,0.568739,135,103.782,124,101.315,176,69.8461,55,-9.5072433264644,25,0.5955,0.5955,23,0.6211,0.6211,138,2.22,105.1,130,102.9,172,68.4,59,-0.039,274,4.83,74,105.7,69,100.9,80,4.34,62,0.4,0,1,0
"8","Ohio St.",62.6363636363636,23.5757575757576,49.030303030303,0.485607316004175,6.54545454545455,17.4545454545455,0.372967211484661,13.1515151515152,18.7575757575758,0.708370170042357,8.06060606060606,22.969696969697,31.030303030303,13.3333333333333,5.87878787878788,5.3030303030303,13.3030303030303,15.1515151515152,66.8484848484848,22.3939393939394,55.1212121212121,0.407032997642239,7.78787878787879,22.3636363636364,0.343583372511601,9.42424242424242,13.5757575757576,0.694399206666305,11.8787878787879,20.5151515151515,32.3939393939394,13.5757575757576,5.78787878787879,2.06060606060606,13.4242424242424,17,62,66.8484848484848,62,110.866666666667,93.9,106.006060606061,55.3545454545455,21.0393939393939,27.6666666666667,39.4060606060606,98.4848484848485,48.0030303030303,21.2606060606061,33.4090909090909,24.3606060606061,80.2636363636364,62.4060606060606,NA,0.868161,33,112.001,33,95.0698,59,64.0717,283,3.218376272899,17,0.4869,0.4869,33,0.7082,0.7082,34,16.34,113.3,32,96.9,63,62.5,284,0.042,67,9.46,30,107.7,36,98.2,14,-3.41,241,0.666666666666667,0,1,0
"9","Mississippi",68.1935483870968,25.5483870967742,59.0322580645161,0.436269810685922,6.93548387096774,20.4193548387097,0.342506345680904,14.6774193548387,20.1612903225806,0.721725843861415,12.8709677419355,24.258064516129,37.1290322580645,11.6774193548387,5.58064516129032,3.32258064516129,13.1935483870968,18.7096774193548,72.7096774193548,25.4516129032258,59,0.432311467771253,6.70967741935484,20.6129032258065,0.322041071853355,14.6774193548387,21.7741935483871,0.670580423213788,13.0322580645161,23.258064516129,36.2903225806452,14.3870967741935,6.03225806451613,3.45161290322581,12.0967741935484,17.8387096774194,72.2903225806452,72.7096774193548,72.2903225806452,110.012903225806,101.538709677419,106.074193548387,49.5903225806452,19.2322580645161,35.8193548387097,35.0258064516129,105.161290322581,48.9483870967742,17.641935483871,34.6677419354839,37.1967741935484,66.1774193548387,68.3838709677419,NA,0.723457,88,110.181,48,101.342,177,67.738,132,-4.4504745118564,20,0.5287,0.5287,27,0.6579,0.6579,92,7.19,111.4,48,104.2,196,66.3,128,-0.001,166,6.06,62,105.4,80,99.3,46,0.06,155,0.516129032258065,0,1,0
"10","Florida",68.0833333333333,28.2777777777778,59.2777777777778,0.477883780012796,8.16666666666667,22.2777777777778,0.359188232074788,12.3333333333333,17.8055555555556,0.695471064015395,11.0833333333333,23.1944444444444,34.2777777777778,16.8055555555556,8.16666666666667,2.69444444444444,12.0555555555556,16,77.0555555555556,25,56.3055555555556,0.445998367970276,6.88888888888889,19.6388888888889,0.34883467008173,10.5277777777778,16.8333333333333,0.61874248029853,11.0277777777778,22.8888888888889,33.9166666666667,12.8055555555556,6.33333333333333,3.25,15.0833333333333,16.6388888888889,67.4166666666667,77.0555555555556,67.4166666666667,114.111111111111,97.1194444444444,112.602777777778,54.6333333333333,17.5083333333333,32.2111111111111,30.6777777777778,98.5833333333333,50.7472222222222,22.0555555555556,32.3,30.1138888888889,80.7888888888889,68.5361111111111,NA,0.862761,38,114.716,19,97.7684,100,66.8174,163,-0.06452407040991,16,0.3984,0.3984,23,0.594,0.594,35,16.16,115.1,21,98.9,88,65.8,151,-0.076,326,2.61,104,104,122,101.4,104,-8.15,321,0.694444444444444,0,1,0
