"","team","average_ pos","average_ fgm","average_ fga","average_ fg_pct","average_ tpm","average_ tpa","average_ tp_pct","average_ ftm","average_ fta","average_ ft_pct","average_ oreb","average_ dreb","average_ reb","average_ ast","average_ stl","average_ blk","average_ to","average_ pf","average_ pts","average_ opp_fgm","average_ opp_fga","average_ opp_fg_pct","average_ opp_tpm","average_ opp_tpa","average_ opp_tp_pct","average_ opp_ftm","average_ opp_fta","average_ opp_ft_pct","average_ opp_oreb","average_ opp_dreb","average_ opp_reb","average_ opp_ast","average_ opp_stl","average_ opp_blk","average_ opp_to","average_ opp_pf","average_ opp_pts","average_ pts_scored","average_ pts_allowed","average_ adj_o","average_ adj_d","average_ off_ppp","average_ off_efg","average_ off_to","average_ off_or","average_ off_ftr","average_ def_ppp","average_ def_efg","average_ def_to","average_ def_or","average_ def_ftr","average_ game_score","average_ tempo","average_ avg_marg","barthag","barthag_rk","adj_o.x","adj_o_rk.x","adj_d.x","adj_d_rk.x","adj_t.x","adj_t_rk.x","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","rk","adj_em","adj_o.y","adj_o_rk.y","adj_d.y","adj_d_rk.y","adj_t.y","adj_t_rk.y","luck","luck_rk","sos_adj_em","sos_adj_em_rk","sos_opp_o","sos_opp_o_rk","sos_opp_d","sos_opp_d_rk","ncsos_adj_em","ncsos_adj_em_rk","win_percentage","is_ranked","is_unranked","rank"
"1","Kansas",71.6666666666667,29.75,60.9166666666667,0.488365898668426,8.83333333333333,21.8611111111111,0.398444226026108,14.8611111111111,21.9166666666667,0.662669718450592,11.8888888888889,26.7777777777778,38.6666666666667,16.2222222222222,6.94444444444444,4.5,12.6666666666667,17.75,83.1944444444444,25.6666666666667,61.1111111111111,0.421057641101135,7.44444444444444,20.9166666666667,0.349339928212159,13.1111111111111,18.3333333333333,0.714678656431365,11.3055555555556,22.9722222222222,34.2777777777778,12.8055555555556,6.80555555555556,3.66666666666667,13.4166666666667,18.6944444444444,71.8888888888889,83.1944444444444,71.8888888888889,121.405555555556,94.2611111111111,115.597222222222,56.1166666666667,17.5972222222222,34.5111111111111,36.1444444444444,99.85,48.1944444444444,18.5777777777778,29.5805555555556,30.6944444444444,92.8722222222222,71.2444444444444,NA,0.947213,8,121.491,8,94.5168,32,71.3567,84,11.007573767463,23,0.6034,0.6034,37,0.7641,0.7641,6,27.45,121.9,5,94.5,24,70.2,72,0.067,32,12.43,8,111.2,10,98.8,8,2.39,80,0.861111111111111,1,0,3
"2","Memphis",69.96875,26.625,60.1875,0.44088638040748,5.65625,19.15625,0.289648153546779,15.0625,22.0625,0.664905783350526,11.65625,24.96875,36.625,15.875,6.90625,4.6875,11.46875,16.6875,73.96875,24.8125,58.71875,0.424396157968933,7.6875,22.78125,0.331133576118707,13.375,19.46875,0.690864541175769,11,25.28125,36.28125,13.53125,5.78125,4.125,13.59375,19,70.6875,73.96875,70.6875,106.328125,99.43125,104.30625,48.740625,16.215625,31.3,37.40625,100.39375,49.0125,19.284375,30.684375,33.7625,64.85,69.9875,NA,0.644211,106,105.798,123,100.474,103,70.0386,137,-3.3798920221492,16,0.4616,0.4616,22,0.5736,0.5736,101,6.02,107,127,101,98,68.4,165,0.026,114,1.65,101,104.7,146,103,99,-4.46,283,0.59375,0,1,0
"3","North Carolina",72.1794871794872,30.4871794871795,65.8717948717949,0.463130007253315,7.07692307692308,19.948717948718,0.354710581004281,15.8717948717949,22.6153846153846,0.6986557954698,15.7179487179487,27.7948717948718,43.5128205128205,18.051282051282,6.94871794871795,3.46153846153846,11.7948717948718,17.8717948717949,83.9230769230769,24.6410256410256,59.4615384615385,0.41521950289095,7.92307692307692,23.3589743589744,0.338871305242213,13.6410256410256,18.7692307692308,0.711094340908634,9.25641025641026,22.3846153846154,31.6410256410256,11.5641025641026,6.23076923076923,4.51282051282051,13.5128205128205,19.3846153846154,70.8461538461538,83.9230769230769,70.8461538461538,120.497435897436,91.4307692307692,115.374358974359,51.6846153846154,16.174358974359,40.9974358974359,34.5871794871795,97.7333333333333,48.2076923076923,18.425641025641,24.6076923076923,32.1948717948718,90.7410256410256,72.4384615384615,NA,0.961477,2,121.014,9,91.4825,8,72.8023,35,8.3482089773565,23,0.5748,0.5748,38,0.747,0.747,3,28.22,120.7,9,92.5,11,71.3,40,0.037,85,12.49,6,112,4,99.5,19,3.87,53,0.825,1,0,6
"4","UCLA",73.6111111111111,33.6111111111111,64.4444444444444,0.521233398538489,9.83333333333333,24.2222222222222,0.402839422870465,12.75,17.2777777777778,0.737463539864379,9.52777777777778,28.9444444444444,38.4722222222222,21.4166666666667,5.88888888888889,5.30555555555556,11.1944444444444,16.1944444444444,89.8055555555556,27.7777777777778,65.8611111111111,0.425231756731793,8.61111111111111,23.5833333333333,0.365917248900861,11.3611111111111,16.7222222222222,0.672851343686827,11.5833333333333,23.1944444444444,34.7777777777778,13,6.27777777777778,1.77777777777778,11.75,17.0833333333333,75.5277777777778,89.8055555555556,75.5277777777778,122.772222222222,99.7083333333333,121.119444444444,59.7777777777778,14.9472222222222,28.9166666666667,27.125,102.352777777778,49.1361111111111,15.6944444444444,28.1305555555556,25.9583333333333,87.3833333333333,74.15,NA,0.917532,23,122.773,3,99.5677,90,74.6287,11,6.6568567395068,18,0.4679,0.4679,26,0.6175,0.6175,16,23.63,124,2,100.4,85,72.6,20,0.021,132,5.17,74,108,67,102.8,89,-4.66,291,0.861111111111111,1,0,8
"5","Bradley",68.21875,22.03125,52.09375,0.423716854989563,6.5,18.40625,0.355113947419166,14.84375,21.90625,0.675546298438481,8.96875,26.09375,35.0625,11.28125,5.90625,3.53125,15.03125,20.46875,65.40625,23.59375,56.125,0.423204118797168,7.65625,22.09375,0.348512992992914,16.34375,22.9375,0.700507409149465,10.875,25.09375,35.96875,13.78125,7.78125,3.125,12.65625,19.6875,71.1875,65.40625,71.1875,95.759375,102.4625,95.215625,48.7,21.825,26.740625,42.625,103.63125,49.246875,18.484375,28.55625,41.175,37.784375,68.396875,NA,0.340948,229,96.4587,304,102.148,131,69.0081,210,-11.160578100794,15,0.4753,0.4753,19,0.5503,0.5503,217,-4.29,98.4,283,102.7,130,67.7,205,0.018,137,2.4,94,105.9,92,103.5,108,0.41,142,0.393939393939394,0,1,0
"6","Tulsa",67.59375,21.90625,52.28125,0.419940176756903,7.3125,21.34375,0.348636038323412,16.3125,22.375,0.727058356318595,9.71875,25.0625,34.78125,11.3125,4.53125,2.5,14.84375,18.09375,67.4375,24.5625,56.5625,0.435975976070184,7.9375,22.09375,0.357069801971302,13.21875,18.75,0.699158092488863,9.875,23.28125,33.15625,12.15625,7.0625,4.1875,12.5,20.25,70.28125,67.4375,70.28125,103.3375,101.4375,99.0625,49.021875,21.79375,29.253125,43.196875,103.515625,50.68125,18.353125,28.165625,33.88125,54.5,67.828125,NA,0.539498,144,103.718,166,102.299,142,69.5733,179,-6.1623736137991,21,0.5692,0.5692,26,0.6275,0.6275,144,1.44,104.3,172,102.9,135,68.2,180,0.055,46,4.59,76,105.8,95,101.2,52,2.08,92,0.46875,0,1,0
"7","Massachusetts",72.4242424242424,25.6666666666667,58.7575757575758,0.437956986853288,7.09090909090909,23.9090909090909,0.291328902793234,13.4242424242424,20.3333333333333,0.639832159741384,10.0909090909091,25.8181818181818,35.9090909090909,16.030303030303,7.57575757575758,5.12121212121212,14.8181818181818,21.8787878787879,71.8484848484848,23.7272727272727,57.4848484848485,0.413915721391581,6.42424242424242,18.6363636363636,0.345103844791902,18,25.5757575757576,0.706560945932955,11.1515151515152,25.8181818181818,36.969696969697,13.7272727272727,6.6969696969697,2.87878787878788,14.3030303030303,18.2727272727273,71.8787878787879,71.8484848484848,71.8787878787879,99.2454545454545,98.5060606060606,98.6212121212121,49.8363636363636,20.2484848484848,27.9666666666667,35.5242424242424,98.7424242424242,47.0424242424242,19.5636363636364,29.9575757575758,45.7969696969697,53.6515151515151,72.969696969697,NA,0.501046,166,99.573,252,99.5368,89,73.5516,26,-10.06785601939,13,0.4491,0.4491,17,0.5472,0.5472,158,0.63,100.6,249,100,80,71.9,29,-0.042,288,0.85,121,104.9,135,104.1,122,-4.53,289,0.454545454545455,0,1,0
"8","Ohio St.",68.46875,25.84375,55.8125,0.463473783253551,6.59375,18.5,0.357559527962917,14.5,21.25,0.682414849096035,10.125,27.125,37.25,13.5625,5.1875,3.78125,13.21875,17.5625,72.78125,24.71875,59.4375,0.416531599362924,8.6875,24.375,0.355990794847239,11.625,17.5,0.651011717088599,10.96875,24,34.96875,13.03125,4.9375,3.0625,12.0625,19.21875,69.75,72.78125,69.75,110.253125,97.86875,105.553125,52.365625,19.21875,29.08125,39.13125,101.25625,49.009375,17.50625,28.515625,29.559375,72.30625,68.659375,NA,0.784379,66,111.21,54,99.3975,85,69.3528,191,-3.1055396108843,16,0.454,0.454,28,0.6599,0.6599,73,10.2,111.2,60,101,99,68,192,-0.054,302,6.78,65,107.4,73,100.6,41,-4.55,290,0.53125,0,1,0
"9","Mississippi",73.3888888888889,25.3888888888889,60.0555555555556,0.423920853556223,7.86111111111111,22.6388888888889,0.342247570983105,19.3333333333333,25.7222222222222,0.759763587599093,12.7222222222222,26.8055555555556,39.5277777777778,12.9166666666667,6.75,4.13888888888889,14.3055555555556,19.5,77.9722222222222,26.0555555555556,61.25,0.426932339522054,8.91666666666667,24.5833333333333,0.36283618935935,15.2777777777778,21.8055555555556,0.705035828683612,11.5,24.8611111111111,36.3611111111111,15.4722222222222,6.77777777777778,3.63888888888889,13.9166666666667,21,76.3055555555556,77.9722222222222,76.3055555555556,109.597222222222,100.094444444444,105.491666666667,49.0083333333333,19.3027777777778,33.5305555555556,43.8333333333333,103.386111111111,49.9805555555556,18.7722222222222,29.8194444444444,36.3333333333333,68.6472222222222,73.4,NA,0.749351,76,110.319,61,100.298,99,72.7094,40,-1.2642859633279,16,0.5176,0.5176,27,0.6696,0.6696,74,10.16,111.1,63,100.9,96,71.6,33,0.062,37,7.31,56,107.8,68,100.5,35,-0.73,174,0.611111111111111,0,1,0
"10","Florida",70.25,26.4722222222222,58.8333333333333,0.451223180899249,7.72222222222222,21.5277777777778,0.354088973670541,17.2222222222222,23.6388888888889,0.723562933687343,11.5555555555556,25.5277777777778,37.0833333333333,12.5277777777778,7.52777777777778,4.75,11.9722222222222,18.3611111111111,77.8888888888889,23.5833333333333,57.5555555555556,0.410798617023358,5.5,18.0277777777778,0.303269284310502,13.8333333333333,19.5833333333333,0.709955454984204,10.6666666666667,24.4444444444444,35.1111111111111,9.63888888888889,5.52777777777778,2.80555555555556,14.8333333333333,20.75,66.5,77.8888888888889,66.5,116.772222222222,89.2777777777778,109.869444444444,51.6861111111111,16.9527777777778,32.1555555555556,40.6277777777778,93.875,45.9138888888889,21.0166666666667,29.7138888888889,34.4,92.6805555555556,70.0694444444444,NA,0.957626,4,116.626,23,88.9296,3,70.2417,125,6.3448025722763,31,0.6683,0.6683,37,0.7615,0.7615,5,27.5,116.9,25,89.5,5,69,117,-0.041,286,12.46,7,110.3,28,97.8,2,8.19,15,0.75,1,0,20
